"Year" "S.Temperature" "S.Salinity" "S.Phosphate" "B.Temperature" "B.Salinity" "B.Oxygen" "B.Phosphate" "BSI" "NAO" "Nitrate.discharge" "Her.Catches" "AMO"
"1" 1975 8.54318714558333 5.94057692375 0.37430269775 3.94464382916667 6.21394155658333 6.81877171041667 0.649887248666667 0.426666667 0.55 NA NA -0.312416667
"2" 1976 7.04412991958333 5.99922259325 0.398064883416667 2.60561288808333 6.42844223933333 6.85068672158333 0.695027744083333 0.306666667 0.69 NA NA -0.377666667
"3" 1977 6.54877683233333 6.17149352366667 0.439601712 2.49607682225 6.58454697083333 6.851071188 0.69442770275 -0.363333333 -0.74 NA 24186 -0.203416667
"4" 1978 7.29612683916667 5.98717274166667 0.49499230325 2.69508526358333 6.48031604066667 6.98403819858333 0.812164422 -0.22 -0.27 NA 16728 -0.194083333
"5" 1979 7.5461418185 5.95297910725 0.376036289916667 2.41647808941667 6.393616171 6.97244914933333 0.616908641166667 -0.553333333 -0.36 NA 17142 -0.124583333
"6" 1980 7.72830433841667 5.87933635191667 0.323655838 2.68226877775 6.46555290783333 6.48724565333333 0.597137691 -0.203333333 -1.06 NA 14998 -0.032916667
"7" 1981 7.64713917408333 5.76598696041667 0.362910646 3.29600096808333 6.17689162233333 6.8181213305 0.78627963225 0.196666667 -0.87 60360540 16769 -0.090916667
"8" 1982 8.27173564175 5.68327786091667 0.379579914 3.28117758241667 6.12821888691667 6.69476132583333 0.809082719 -0.236666667 1.45 52214700 12777 -0.226916667
"9" 1983 8.67599409041667 5.63646985691667 0.411926448833333 3.16539718566667 6.13428384075 6.77204972516667 0.79315497075 0.276666667 0.47 55150168 15541 -0.085
"10" 1984 8.24434058683333 5.74933100866667 0.389489284916667 2.91892313541667 6.2519088465 6.63306416775 0.713914554416667 0.086666667 0.8 46859784 15843 -0.22175
"11" 1985 7.91527253433333 5.70363869991667 0.349158051166667 2.408908058 6.33530479466667 6.72265018825 0.778799641416667 -0.17 -1.25 64209792 15575 -0.281416667
"12" 1986 7.78726536191667 5.69095824975 0.3152124485 2.83056605091667 6.12485220266667 7.23050322891667 0.636410027166667 -0.31 1.3 65794308 16927 -0.288833333
"13" 1987 7.024946771 5.58000489166667 0.350133842916667 2.67108885641667 6.073007554 7.15081853608333 0.5673974235 -0.143333333 -1.17 52730496 12884 0.0525
"14" 1988 8.32756709383333 5.56620018633333 0.417804973166667 2.84563944408333 5.99481922591667 7.56429376716667 0.606709503833333 0.076666667 0.13 45393720 16791 -0.019166667
"15" 1989 8.74743381833333 5.52350670633333 0.444808068416667 3.77821646191667 5.89000346025 7.29149658366667 0.70825929325 0.703333333 2.21 61304184 16783 -0.097
"16" 1990 8.53000854766667 5.48882232758333 0.418763193583333 3.91474640566667 5.83575226175 7.05053200391667 0.691708848583333 0.55 2.49 87483712 14931 -0.0525
"17" 1991 8.66597107891667 5.31151425358333 0.467613091666667 3.67029280558333 5.807195353 7.25444854791667 0.748908334166667 0.156666667 0.96 60073908 14791 -0.146416667
"18" 1992 8.52077957608333 5.19154723 0.502484510916667 4.11852904583333 5.605999262 7.43051069208333 0.7743646455 0.53 1.65 55281868 20000 -0.23325
"19" 1993 8.11391485216667 5.22279997241667 0.53825750975 2.95362191616667 5.72010644275 7.8664664885 0.868506883416667 0.596666667 0.66 61899828 22200 -0.224666667
"20" 1994 8.2594114425 5.33073506116667 0.480106710583333 2.78604133158333 5.83955905491667 7.37684221775 0.793525404 -0.14 1.33 64236564 24300 -0.190916667
"21" 1995 7.97130027416667 5.4576651255 0.462516352833333 3.33396673625 5.81117398166667 7.56070528158333 0.876377086333333 0.456666667 -0.8 61333144 32656 0.120833333
"22" 1996 7.61239420575 5.52249433066667 0.495006714166667 2.33069905758333 5.95935977325 6.585067954 0.862988983333333 -0.353333333 -1.08 38463240 32584 -0.072083333
"23" 1997 7.92627137058333 5.56369750033333 0.509985357916667 2.64371877183333 5.85713528575 6.912317019 0.799336352583333 0.333333333 0.03 64791052 39843 0.0375
"24" 1998 8.16030134391667 5.40447588808333 0.392907911833333 2.66813382641667 5.79530085383333 7.42648649625 0.69492096625 0.213333333 -0.27 64783432 29443 0.358166667
"25" 1999 9.13271120575 5.20158864766667 0.395112423083333 2.66081030025 5.61468562058333 7.5976878805 0.6981671035 0.206666667 0.56 52356296 31403 0.103666667
"26" 2000 8.42431887466667 5.35928692208333 0.406216269833333 3.81238393733333 5.58258025366667 7.50888504008333 0.797314713666667 0.433333333 0.65 54927484 34069 0.014
"27" 2001 9.18898873591667 5.11210441691667 0.460705246666667 3.27633356583333 5.6247235235 7.54781644083333 0.811093526333333 -0.07 -0.57 54347592 38785 0.104833333
"28" 2002 9.09765068083333 5.18168027225 0.41224376225 2.71344892158333 5.63452704791667 7.47138809866667 0.823709131916667 0.323333333 0.34 63943732 39701 0.050916667
"29" 2003 8.48577810108333 5.3757232775 0.332122397416667 2.35468470541667 5.81876402383333 6.98199532741667 0.680941346666667 -0.073333333 0.31 46133480 40803 0.216833333
"30" 2004 8.97167353775 5.34207043683333 0.334116186416667 2.46221065233333 5.81406102208333 6.5478093495 0.692977381833333 0.06 0.12 64522848 39115 0.192166667
"31" 2005 9.121084896 5.30035783441667 0.387569039833333 2.89328555641667 5.77992830366667 6.9086184065 0.758841473666667 0.243333333 -0.72 56560168 32225 0.27775
"32" 2006 10.10825386725 5.41928919408333 0.388836065166667 3.48356340108333 5.84110315908333 7.06347336366667 0.768072591666667 -0.183333333 -0.24 50985636 31232 0.252833333
"33" 2007 9.55761545125 5.40229759583333 0.39350444125 4.10051912375 5.69101404266667 7.03605924825 0.737098263833333 0.29 0.56 66942604 33742 0.133583333
"34" 2008 9.232324945 5.38459498333333 0.437450124416667 3.74534358183333 5.80028569575 6.85539066025 0.695576805583333 0.5 0.11 79515424 31137 0.1245
